stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
VHM,Bất động sản,7.91,STOCK,2025-06-06,25,DCDE
TCB,Ngân hàng,7.27,STOCK,2025-06-06,25,DCDE
MWG,Bán lẻ,7.01,STOCK,2025-06-06,25,DCDE
STB,Ngân hàng,5.83,STOCK,2025-06-06,25,DCDE
HPG,Vật liệu xây dựng,4.1,STOCK,2025-06-06,25,DCDE
MBB,Ngân hàng,3.88,STOCK,2025-06-06,25,DCDE
CTG,Ngân hàng,3.84,STOCK,2025-06-06,25,DCDE
FPT,Công nghệ và thông tin,3.71,STOCK,2025-06-06,25,DCDE
HDG,Bất động sản,2.67,STOCK,2025-06-06,25,DCDE
VPB,Ngân hàng,2.57,STOCK,2025-06-06,25,DCDE
