stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,14.82,STOCK,2025-06-10,47,MBVF
ACB,Ngân hàng,12.68,STOCK,2025-06-10,47,MBVF
QTP,Tiện ích,5.92,STOCK,2025-06-10,47,MBVF
VRE,Bất động sản,4.9,STOCK,2025-06-10,47,MBVF
HPG,Vật liệu xây dựng,4.82,STOCK,2025-06-10,47,MBVF
VPB,Ngân hàng,4.8,STOCK,2025-06-10,47,MBVF
VIB,Ngân hàng,4.78,STOCK,2025-06-10,47,MBVF
VEA,"Sản xuất Thiết bị, máy móc",3.96,STOCK,2025-06-10,47,MBVF
PLX,Bán buôn,3.69,STOCK,2025-06-10,47,MBVF
PNJ,Sản xuất Phụ trợ,3.43,STOCK,2025-06-10,47,MBVF
