short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
DCDS,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.95,2004-05-19,97858.18,0.42,19.9,247.67,11.28,28.08,21.62,25.63,52.52,66.09,18.43,2025-07-26,28,VFMVF1,VFMVF1N001
SSISCA,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.75,2014-09-25,43284.33,0.37,6.13,200.33,6.77,17.86,6.52,12.51,44.62,54.54,15.61,2025-07-26,11,SSISCA,SSISCAN001
MBVF,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2014-04-24,25948.0,0.43,16.7,81.62,6.25,17.87,16.81,21.95,39.49,51.42,14.83,2025-07-26,47,MBVF,MBVFN001
VCBF-MGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2021-10-28,14260.23,1.03,6.15,42.6,6.88,19.47,8.01,14.8,37.39,48.26,14.03,2025-07-26,46,VCBFMGF,VCBFMGFN001
VCBF-BCF,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2014-08-21,39840.13,0.98,11.16,103.83,8.59,21.42,13.4,18.75,38.17,46.41,13.55,2025-07-26,32,VCBFBCF,VCBFBCFN001
DCDE,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.93,2008-02-27,30904.03,0.39,13.28,168.31,10.38,21.9,14.9,18.67,36.34,46.33,13.53,2025-07-26,25,VFMVF4,VFMVF4N001
BVFED,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.0,2014-01-07,27736.0,0.56,21.27,146.43,12.21,23.77,23.1,26.85,41.31,44.26,12.99,2025-07-26,12,BVFED,BVFEDN001
MAGEF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,1.75,2019-07-22,19278.66,0.51,13.08,92.79,11.98,24.01,13.43,16.42,35.27,42.1,12.43,2025-07-26,35,MAGEF,MAGEFN001
VCBF-TBF,QUỸ ĐẦU TƯ CÂN BẰNG CHIẾN LƯỢC VCBF,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.5,2013-12-23,35883.93,0.6,7.94,79.91,5.7,13.79,9.26,13.63,30.92,40.65,12.04,2025-07-26,31,VCBFTBF,VCBFTBFN001
BVPF,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.5,2016-12-28,22158.0,0.36,3.84,121.54,5.9,13.38,3.95,7.58,32.85,40.49,12.0,2025-07-26,14,BVPF,BVPFN001
