ticker,time,open,high,low,close,volume
VND,2025-01-02,12.6,12.75,12.6,12.6,4937781
VND,2025-01-03,12.6,12.65,12.3,12.35,9775432
VND,2025-01-06,12.3,12.4,11.95,11.95,8714343
VND,2025-01-07,11.95,12.15,11.75,11.8,7314547
VND,2025-01-08,11.65,11.95,11.65,11.85,6714177
VND,2025-01-09,11.85,11.95,11.8,11.8,3518729
VND,2025-01-10,11.8,11.85,11.4,11.45,10352564
VND,2025-01-13,11.35,11.65,11.25,11.55,9516301
VND,2025-01-14,11.55,11.55,11.25,11.25,5966934
VND,2025-01-15,11.25,11.5,11.25,11.45,5754987
VND,2025-01-16,11.7,12.25,11.6,12.25,19612073
VND,2025-01-17,12.25,12.25,12.05,12.15,5317010
VND,2025-01-20,12.2,12.3,11.9,11.95,8861678
VND,2025-01-21,12.0,12.2,11.95,11.95,7315587
VND,2025-01-22,12.0,12.05,11.7,11.7,7708119
VND,2025-01-23,11.75,12.2,11.7,12.0,8141171
VND,2025-01-24,12.1,12.1,11.95,12.0,5415201
VND,2025-02-03,11.95,11.95,11.6,11.6,13603604
VND,2025-02-04,11.75,12.4,11.7,12.4,19398838
VND,2025-02-05,12.6,12.75,12.35,12.45,15799792
VND,2025-02-06,12.6,13.15,12.55,12.9,21492845
VND,2025-02-07,13.0,13.0,12.7,12.8,7695824
VND,2025-02-10,12.7,12.8,12.55,12.6,12053433
VND,2025-02-11,12.6,12.75,12.55,12.65,8105478
VND,2025-02-12,12.65,12.95,12.65,12.7,7639640
VND,2025-02-13,12.7,12.75,12.55,12.65,8849351
VND,2025-02-14,12.75,12.9,12.7,12.75,11917438
VND,2025-02-17,12.8,13.3,12.75,13.1,24780199
VND,2025-02-18,13.1,13.3,13.05,13.2,11306526
VND,2025-02-19,13.2,13.35,13.15,13.3,14346956
VND,2025-02-20,13.3,13.5,13.3,13.4,16402401
VND,2025-02-21,13.4,13.45,13.2,13.35,13166536
VND,2025-02-24,13.15,13.6,13.1,13.55,18751460
VND,2025-02-25,13.6,13.95,13.55,13.7,22975153
VND,2025-02-26,13.8,13.9,13.65,13.75,12736249
VND,2025-02-27,13.8,13.8,13.4,13.65,17478860
VND,2025-02-28,13.7,13.9,13.55,13.6,12199987
VND,2025-03-03,13.6,13.8,13.45,13.7,11886320
VND,2025-03-04,13.55,13.7,13.3,13.55,13089102
VND,2025-03-05,13.5,13.75,13.4,13.4,14966349
VND,2025-03-06,13.45,13.8,13.4,13.8,20047245
VND,2025-03-07,13.8,13.9,13.65,13.7,13983629
VND,2025-03-10,13.9,14.45,13.85,14.1,31763799
VND,2025-03-11,13.85,14.5,13.85,14.35,31176050
VND,2025-03-12,14.5,15.2,14.35,15.1,63082188
VND,2025-03-13,15.0,15.3,14.85,14.95,35496422
VND,2025-03-14,14.9,15.15,14.9,14.95,24804153
VND,2025-03-17,15.0,15.1,14.65,14.9,18816212
VND,2025-03-18,15.0,15.25,14.75,15.2,28971476
VND,2025-03-19,15.15,15.2,14.9,15.1,21727925
VND,2025-03-20,15.0,15.25,14.95,15.15,24611533
VND,2025-03-21,15.15,15.65,15.1,15.35,41092375
VND,2025-03-24,15.35,15.6,15.3,15.6,22492929
VND,2025-03-25,15.7,15.75,15.3,15.35,22189963
VND,2025-03-26,15.25,15.5,15.15,15.25,20630565
VND,2025-03-27,15.1,15.65,15.1,15.55,22575312
VND,2025-03-28,15.6,15.9,15.55,15.7,27962963
VND,2025-03-31,15.45,15.6,15.15,15.3,17183435
VND,2025-04-01,15.4,15.6,15.25,15.4,12741294
VND,2025-04-02,15.4,16.0,15.35,15.9,25640476
VND,2025-04-03,15.15,15.25,14.8,14.8,37806222
VND,2025-04-04,13.8,14.6,13.8,14.6,42016918
VND,2025-04-08,14.2,14.3,13.6,13.6,16367369
VND,2025-04-09,12.65,13.75,12.65,12.65,36997637
VND,2025-04-10,13.5,13.5,13.5,13.5,1764064
VND,2025-04-11,14.0,14.4,13.8,14.4,30564387
VND,2025-04-14,14.7,15.4,14.65,15.35,21541459
VND,2025-04-15,15.25,15.6,14.95,15.0,24148738
VND,2025-04-16,15.0,15.45,15.0,15.2,20347656
VND,2025-04-17,14.95,15.45,14.95,15.4,19099816
VND,2025-04-18,15.5,16.2,15.35,15.65,41713773
VND,2025-04-21,15.5,15.6,15.0,15.35,32840715
VND,2025-04-22,15.15,15.15,14.3,15.0,59627947
VND,2025-04-23,15.4,15.4,15.05,15.1,12129963
VND,2025-04-24,15.1,15.25,14.7,14.9,13735791
VND,2025-04-25,15.05,15.05,14.7,14.7,8154547
VND,2025-04-28,14.8,14.9,14.65,14.8,8792767
VND,2025-04-29,14.8,14.85,14.6,14.6,7439829
VND,2025-05-05,14.9,14.9,14.45,14.85,9626095
VND,2025-05-06,14.95,15.1,14.65,14.65,11298570
VND,2025-05-07,14.65,14.75,14.45,14.55,7479024
VND,2025-05-08,14.65,14.9,14.5,14.85,9027746
VND,2025-05-09,14.9,15.2,14.85,14.9,12645766
VND,2025-05-12,14.9,15.05,14.8,15.05,8160220
VND,2025-05-13,15.25,15.45,15.05,15.15,13020310
VND,2025-05-14,15.25,15.5,15.0,15.3,21500725
VND,2025-05-15,15.45,15.6,15.2,15.4,13500042
VND,2025-05-16,15.4,15.7,15.2,15.2,13491824
VND,2025-05-19,15.25,15.25,14.8,14.8,15433038
VND,2025-05-20,14.95,15.2,14.6,15.15,11567598
VND,2025-05-21,15.2,15.45,15.0,15.4,22152116
VND,2025-05-22,15.4,16.15,15.3,15.65,51398110
VND,2025-05-23,15.7,15.8,15.5,15.55,12225073
VND,2025-05-26,15.55,15.75,15.05,15.75,18957650
VND,2025-05-27,15.85,16.35,15.75,16.2,42786055
VND,2025-05-28,16.35,16.5,16.0,16.15,20048632
VND,2025-05-29,16.15,16.3,15.75,15.75,26906364
VND,2025-05-30,15.7,16.15,15.55,15.7,24416104
VND,2025-06-02,15.75,16.35,15.6,16.35,29814459
VND,2025-06-03,16.65,17.45,16.55,17.45,73371436
VND,2025-06-04,17.45,17.7,17.3,17.3,23548407
VND,2025-06-05,17.3,17.4,16.95,17.1,22788654
VND,2025-06-06,17.0,17.0,16.35,16.45,47728062
VND,2025-06-09,16.4,16.6,16.15,16.2,19903271
VND,2025-06-10,16.2,16.6,16.1,16.3,20364621
VND,2025-06-11,16.35,16.35,15.95,16.1,16117689
VND,2025-06-12,16.3,16.7,16.25,16.5,24512363
VND,2025-06-13,16.15,16.4,15.9,16.15,31072924
VND,2025-06-16,16.05,16.8,16.05,16.8,17842101
VND,2025-06-17,16.9,16.95,16.5,16.75,18145574
VND,2025-06-18,16.7,16.9,16.5,16.5,15780705
VND,2025-06-19,16.45,16.65,16.3,16.6,12290897
VND,2025-06-20,16.7,16.9,16.5,16.65,12447348
